ccode,stateab,bortotalavg,democracy,cincavg,Sub-Region Code,Dev,Avg Population,AVGGDP,T1MaxHost,maj_pow
571,BOT,4,2,0.000183875,18,0,1889431.071,10948337592,3,0
572,SWA,2,0,5.75E-05,18,0,1049750.571,3422978618,3,0
580,MAG,3,0,0.000947508,14,0,19794120.57,8672065235,3,0
581,COM,4,1,2.53E-05,14,0,652641.8571,797624177.6,0,0
590,MAS,1,2,5.00E-05,14,0,1236213.143,8625791621,0,0
591,SEY,5,0,5.53E-06,14,0,85982,958260028.9,0,0
600,MOR,4,0,0.003887708,15,0,31474584.86,78469760302,3,0
615,ALG,9,0,0.00394885,15,0,34740838.21,1.37E+11,0,0
616,TUN,6,0,0.000953858,15,0,10387558.86,37607479491,0,0
620,LIB,10,0,0.001542883,15,0,5969377.929,52282359292,3,0
625,SUD,10.64,0,0.002674842,15,0,32807559.93,40749048177,4,0
630,IRN,14,0,0.013877533,34,0,71813727.36,3.45E+11,4,0
640,TUR,16,1,0.014822508,145,0,70286029.29,6.23E+11,4,0
645,IRQ,8,0,0.006220575,145,0,28618949.14,1.36E+11,5,0
651,EGY,10,0,0.010174333,15,0,79469866.29,1.68E+11,5,0
652,SYR,7,0,0.00444195,145,0,19246486.64,27456282021,5,0
660,LEB,5,0,0.000952275,145,0,4914689.643,30597248835,4,0
663,JOR,5,0,0.001389225,145,0,6676237.143,20836536711,4,0
666,ISR,7,2,0.004102184,145,1,7288650,1.98E+11,4,0
670,SAU,14,0,0.01167415,145,0,25744933.21,4.54E+11,5,0
679,YEM,6,0,0.001602317,145,0,21698539.5,24168795821,4,0
690,KUW,5,0,0.001817117,145,0,2710961,1.08E+11,4,0
692,BAH,7,0,0.000499525,145,0,1049608.5,21343831687,4,0
694,QAT,7,0,0.001120558,145,0,1412373,98217607549,4,0
696,UAE,5,0,0.002938533,145,0,6476895.714,2.52E+11,4,0
698,OMA,8,0,0.001213858,145,0,2887175.357,47586318223,4,0
700,AFG,6,0,0.001658075,34,0,27430353.07,11844811823,4,0
701,TKM,6,0,0.000774467,143,0,4948125,18646128652,3,0
702,TAJ,4,0,0.00034765,143,0,7193637.143,4449658741,4,0
703,KYR,4,0,0.000352525,143,0,5325714.286,4184906663,3,0
704,UZB,5,0,0.002586733,143,0,27495639.29,33780200653,4,0
705,KZK,7,0,0.003260883,143,0,15810029.29,1.16E+11,4,0
710,CHN,18,0,0.184766442,30,0,1319960357,4.78E+12,4,1
712,MON,2,2,0.000281717,30,0,2639261.643,5809442785,0,0
713,TAW,3,2,0.007844975,30,1,22963729.71,4.78E+12,4,0
731,PRK,4,0,0.012501525,30,0,24188819.43,13585409808,4,0
732,ROK,4,2,0.023136299,30,0,48966067,1.03E+12,4,0
740,JPN,6,2,0.041387934,30,1,127718857.1,4.99E+12,4,1
750,IND,11,2,0.076523215,34,0,1189354896,1.22E+12,4,0
760,BHU,2,0,4.75E-05,34,0,665496.5,1167185706,0,0
770,PAK,6,0,0.013991992,34,0,170086568.5,1.57E+11,5,0
771,BNG,2,0,0.007170225,34,0,143023763.8,96365321506,4,0
775,MYA,7,0,0.00622665,35,0,49773680.29,31778749796,4,0
780,SRI,1,0,0.001984433,34,0,19873164.64,41698116665,0,0
781,MAD,1,0,1.45E-05,34,0,347687.7143,2036507880,0,0
790,NEP,2,0,0.001387175,34,0,26156155.5,12257445664,0,0
800,THI,7,0,0.007928092,35,0,66221047.21,2.69E+11,4,0
811,CAM,4,0,0.001573417,35,0,13807796.71,9377258187,4,0
812,LAO,5,0,0.000487775,35,0,6007281.357,5777416113,0,0
816,DRV,6,0,0.008224583,35,0,85996900.43,94572275021,4,0
820,MAL,8,0,0.004545075,35,0,26903824.93,2.06E+11,4,0
830,SIN,2,0,0.002853658,35,0,4722849.286,1.91E+11,1,0
835,BRU,2,99,0.000152025,35,0,376337.4286,12194439637,0,0
840,PHI,7,1,0.005380217,35,0,90133666.36,1.70E+11,4,0
850,INS,11.93,2,0.0145087,35,0,234270778.4,5.25E+11,4,0
860,ETM,2,1,3.98E-05,35,0,1041990.714,759960507.1,0,0
900,AUL,2.93,2,0.007338633,53,1,21261246.71,9.47E+11,4,0
910,PNG,4,1,0.000233725,54,0,6919355.714,11257435761,4,0
920,NEW,0,2,0.000867692,53,1,4224500,1.30E+11,0,0
935,VAN,1,2,5.81E-06,54,0,223799,547870235.8,0,0
940,SOL,2,1,1.27E-05,54,0,500747.2143,736422987.4,4,0
946,KIR,3,99,2.40E-06,57,0,97620,132091893.4,0,0
947,TUV,2,99,2.59E-07,61,0,10248.92857,27184568.99,0,0
950,FIJ,2,0,6.53E-05,54,0,840584.0714,3170623065,0,0
955,TON,2,99,2.69E-06,61,0,101632.7143,317766796.3,0,0
970,NAU,1,99,2.88E-07,57,0,10184.07143,82738667.68,0,0
983,MSI,1,99,1.44E-06,57,0,55353.92857,154123228.6,0,0
986,PAL,3,99,6.48E-07,57,0,18767.07143,190344342.9,4,0
987,FSM,3,99,1.19E-05,57,0,105316.4286,274655550,0,0
990,WSM,1,99,4.96E-06,61,0,183127.5,553872630.7,0,0
